"id","date","source","title","E1","E2","E3","GOLD","Model"
"1694990140_2481","2023-09-16","WSJ","World News: Struggling to Contain Inflation, Moscow Raises Rates to 13%","Russia's economy has defied the gloomiest expectations - is caused by - big government spending (x)
Russia's economy has defied the gloomiest expectations - is caused by - Kremlin's ability to find new trade partners (x)
(keeping the economy humming - causes - imbalances (x))
(keeping the economy humming - causes - inflation)","Russia's economy has defied the gloomiest expectations - is caused by - big government spending
Russia's economy has defied the gloomiest expectations - is caused by - Kremlin's ability to find new trade partners","Russia's economy has defied the gloomiest expectations - is caused by - big government spending (x)
Russia's economy has defied the gloomiest expectations - is caused by - the Kremlin's ability to find new trade partners (x)
if the authorities don't intervene - causes - uncontrolled inflation growth","Russia's economy has defied the gloomiest expectations - is caused by - big government spending (x)
Russia's economy has defied the gloomiest expectations - is caused by - the Kremlin's ability to find new trade partners (x)
if the authorities don't intervene - causes - uncontrolled inflation growth
keeping the economy humming - causes - imbalances (x)
keeping the economy humming - causes - inflation","- Russia's economy has defied the gloomiest expectations - is caused by - big government spending and the Kremlin's ability to find new trade partners 
- the authorities don't intervene - causes - uncontrolled inflation growth"
"42K4-1730-0109-T3K1","2001-03-15","NYT","Britain's Jobless Rate Falls to Lowest Level in 25 Years","Combination of Britain's unemployment fell below the one million level and low inflation - causes - central bank might leave interest rates unchanged at its next meeting","BLANK","Britain's unemployment fell below the one million level last month, the lowest in a quarter of a century, government officials said today. The drop was accompanied by low inflation - causes - encourage the central bank to leave interest rates unchanged","Combination of Britain's unemployment falling below the one million level last month and low inflation - causes - the central bank encouraged to leave interest rates unchanged","- The drop in Britain's unemployment was accompanied by low inflation - causes - the central bank is expected to leave interest rates unchanged at its next meeting
- The drop in Britain's unemployment and low inflation are a boon to Prime Minister Tony Blair - causes - Prime Minister Tony Blair is considering calling elections for May, a year before he is required to"
"1664341137_21213","2009-06-03","WSJ","Germany Blasts 'Powers of the Fed'","the Fed's aggressiveness - causes - the risks of an outbreak of inflation
the Fed's aggressiveness - causes - overall perception that it will bail out big financial institutions when they take big risks that turn out badly","Fed's aggressiveness - causes - risks of an outbreak of inflation
Fed's aggressiveness - causes - creating the unwelcome perception that it will bail out big financial institutions when they take big risks that turn out badly","Republicans and Democrats in Congress have questioned the wisdom of the Fed's power and its governance - is caused by - {they|the Fed} contemplate far-reaching changes to the nation's financial regulatory structure
the Fed's aggressiveness - causes - increase of the risks of an outbreak of inflation 
the Fed's aggressiveness - causes - the unwelcome perception that it will bail out big financial institutions when they take big risks that turn out badly","the Fed's aggressiveness - causes - increase of the risks of an outbreak of inflation 
the Fed's aggressiveness - causes - the unwelcome perception that it will bail out big financial institutions when they take big risks that turn out badly","- Republicans and Democrats in Congress have questioned the wisdom of the {Fed's|Federal Reserve's} power and its governance - causes - contemplation of far-reaching changes to the nation's financial regulatory structure
- the {Fed's|Federal Reserve's} aggressiveness - causes - higher risks of an outbreak of inflation
- the {Fed's|Federal Reserve's} aggressiveness - causes - the perception that the {Fed|Federal Reserve} will bail out big financial institutions when they take big risks that turn out badly"
"1664324824_24563","2008-08-06","WSJ","The Morning Brief: The Fed Is Straddling The Economic Fence","Elevated energy and food prices - causes - inflation fears everywhere
A key reading of Japan's economic health fell in June - causes - government's pronouncement of a ""worsening"" view of the economy (x)","Elevated energy and food prices - causes - inflation fears everywhere
A key reading of Japan's economic health fell in June - causes - government's pronouncement of a ""worsening"" view of the economy (x)","Elevated energy and food prices - causes - inflation fears everywhere
A key reading of Japan's economic health fell in June - causes - {that government's|Japan's government's} pronouncement of a ""worsening"" view of the economy (x)","Elevated energy and food prices - causes - inflation fears everywhere
A key reading of Japan's economic health fell in June - causes - {that government's|Japan's government's} pronouncement of a ""worsening"" view of the economy (x)","- Elevated energy and food prices - causes - global inflation fears 
- Economic problems in the United States - causes - few economies being immune to contagion 
- Germany's economy contracted in the second quarter - is caused by - unmentioned factors 
- A key reading of Japan's economic health fell in June - causes - the Japanese government declaring a ""worsening"" view of the economy"
"3SJD-NJR0-0017-5099","1987-11-07","NYT","Pact on Milk Prices Is Termed Illegal","A recent price-setting agreement between a major Northeast dairy farmers' cooperative and a New York area milk dealers' group violates Federal antitrust laws - causes - {it|recent price-setting agreement} must be voided
fair prices - causes - maintaining thousands of dairy farm families","BLANK","A recent price-setting agreement between a major Northeast dairy farmers' cooperative and a New York area milk dealers' group violates Federal antitrust laws and must be voided - is caused by - milk dealers already have used the small price increase established in the agreement as a pretext for raising prices in the metropolitan area to ''inflated and non-competitive levels""","BLANK","- milk dealers already have used the small price increase established in the agreement - causes - raising milk prices in the metropolitan area to inflated and non-competitive levels 
- fair milk prices are not set - causes - losing thousands of dairy farm families"
"1664239149_5023","2003-10-27","WSJ","THE OUTLOOK: Global Rates May Rise Soon, but Central Banks Must Be Careful","Investors speculated last week that the Fed might raise rates sooner than previously expected - is caused by - U.S. Treasury Secretary John Snow said in the Times of London that he would be ""frustrated and concerned"" if rates didn't rise (x)
inflation as low as the Fed wants - causes - most U.S. economists expect the bank to wait until well into next year before starting to raise interest rates
high unemployment threatening to push {it|inflation} lower - causes - most U.S. economists expect the bank to wait until well into next year before starting to raise interest rates
the bank might wait to raise interest rates - causes - the dollar is falling against other major currencies","Investors speculated last week that the Fed might raise rates sooner than previously expected - is caused by - U.S. Treasury Secretary John Snow said in the Times of London that he would be """"frustrated and concerned"""" if rates didn't rise
inflation as low as the Fed wants and high unemployment threatening to push it lower - causes - U.S. economists expect the bank to wait until well into next year before starting to raise interest rates
U.S. economists expect the bank to wait until well into next year before starting to raise interest rates - causes - dollar is falling against other major currencies","Investors speculated last week that the Fed might raise rates sooner than previously expected - is caused by - U.S. Treasury Secretary John Snow said in the Times of London that he would be ""frustrated and concerned"" if rates didn't rise
With inflation as low as the Fed wants and high unemployment threatening to push it lower - causes - most U.S. economists expect {the bank|the Fed} to wait until well into next year before starting to raise interest rates
most U.S. economists expect {the bank|the Fed} to wait until well into next year before starting to raise interest rates - causes - the dollar is falling against other major currencies","Investors speculated last week that the Fed might raise rates sooner than previously expected - is caused by - U.S. Treasury Secretary John Snow said in the Times of London that he would be ""frustrated and concerned"" if rates didn't rise
inflation as low as the Fed wants - causes - most U.S. economists expect {the bank|the Fed} to wait until well into next year before starting to raise interest rates
high unemployment threatening to push {it|inflation} lower - causes - most U.S. economists expect {the bank|the Fed} to wait until well into next year before starting to raise interest rates
the assumption that {the bank|the Fed} will wait until well into next year before starting to raise interest rates - causes - the dollar is falling against other major currencies","- Investors speculated that the Fed might raise rates sooner than previously expected - is caused by - U.S. Treasury Secretary John Snow expressed frustration and concern if rates didn't rise 
- The dollar is falling against other major currencies - is caused by - Traders are betting that returns will start to look much better in currencies like the euro 
- The European Central Bank (ECB) is growing more optimistic - causes - recovery in the 12 nations that use the euro"
"1664593169_12035","2021-10-11","WSJ","Yields Top 1.6%, Highest In Months","decline in new Covid-19 cases - causes - hope that more workers could soon return to their offices (x)
more workers returning to their offices - causes - bossing of the economy (x)
Dead in congress to extend the U.S. debt limit into december - causes - removing a near-term economic threat (x)
continued supply shortages - causes - hightened inflation expectations
rising energy prices - causes - hightened inflation expectations
strong consumer spending - causes - hightened inflation expectations
prospect of tapering - causes - yields have climbed (x)
inflation - causes - yields have climbed","A decline in Covid-19 cases - causes - workers could soon return to their offices (x)
A decline in Covid-19 cases - causes - boosting the economy (x)
continued supply shortages - causes - lifted inflation expectations
rising energy prices - causes - lifted inflation expectations
strong consumer spending - causes - lifted inflation expectations
prospect of tapering - causes - yields have climbed (x)
yields have climbed - is caused by - inflation","A decline in new Covid-19 cases - causes - renewed hope that more workers could soon return to their offices (x)
renewed hope that more workers could soon return to their offices - causes - boosting the economy (x)
A deal in Congress to extend the U.S. debt limit into December - causes - removing a near-term economic threat (x)
continued supply shortages - causes - lifting inflation expectations
rising energy prices - causes - lifting inflation expectations
strong consumer spending - causes - lifting inflation expectations
The prospect of tapering - causes - yields have climbed
inflation - causes - yields have climbed
the Fed might rethink its tapering timeline - is caused by - the economy added fewer than 200,000 jobs in September","A decline in Covid-19 cases - causes - workers could soon return to their offices (x)
A decline in Covid-19 cases - causes - boosting the economy (x)
A deal in Congress to extend the U.S. debt limit into December - causes - removing a near-term economic threat (x)
continued supply shortages - causes - lifted inflation expectations
rising energy prices - causes - lifted inflation expectations
strong consumer spending - causes - lifted inflation expectations
prospect of tapering - causes - yields have climbed (x)
yields have climbed - is caused by - inflation","- A decline in new Covid-19 cases - causes - renewed hope that more workers could soon return to their offices 
- renewed hope that more workers could soon return to their offices - causes - boosting the economy 
- A deal in Congress to extend the U.S. debt limit into December - causes - removal of a near-term economic threat 
- continued supply shortages, rising energy prices and strong consumer spending - causes - increase in inflation expectations 
- The prospect of tapering - causes - increase in yields 
- inflation - causes - increase in yields"
"1664476041_19378","2015-01-23","WSJ","Bond Buys Usher In New Era --- European Central Bank Launches $1 Trillion-Plus Plan; Focus Shifts to Governments","the ECB's move, by lifting growth and lowering borrowing costs - causes - taking the pressure off eurozone governments to enact painful reforms
official interest rates near zero and ample loans to banks failing to boost inflation so far - causes - the ECB was left with few options apart from buying securities in the public debt market,","lifting growth and lowering borrowing costs - causes - taking the pressure off eurozone governments to enact painful reforms
official interest rates near zero - causes - ECB was left with few options
ample loans to banks failing to boost inflation - causes - ECB was left with few options","the ECB's move, by lifting growth and lowering borrowing costs - causes - taking the pressure off eurozone governments to enact painful reforms
official interest rates near zero and ample loans to banks failing to boost inflation so far - causes - the ECB was left with few options apart from buying securities in the public debt market, 
buying securities in the public debt market - causes - raising the money supply","the ECB's move, by lifting growth and lowering borrowing costs - causes - taking the pressure off eurozone governments to enact painful reforms
official interest rates near zero and ample loans to banks failing to boost inflation so far - causes - the ECB was left with few options apart from buying securities in the public debt market","- the ECB's move, by lifting growth and lowering borrowing costs - causes - taking the pressure off eurozone governments to enact painful reforms 
- official interest rates near zero and ample loans to banks failing to boost inflation so far - causes - the ECB was left with few options apart from buying securities in the public debt market 
- the ECB was left with few options apart from buying securities in the public debt market - causes - raising the money supply"
"1021615705_40068","2002-05-17","WSJ","
ECB Chief Raises Price Concerns


","the latest inflation developments - causes - less price stability
we are less than entirely satisfied about recent price developments - is caused by - recently published inflations forecases neither clearly confirm no entirely defuse the risk of an entrenchment of upward tendencies in prices
we are less than entirely satisfied about recent price developments - is caused by - developments in indicators of inflation expectations neither clearly confirm no entirely defuse the risk of an entrenchment of upward tendencies in prices
we are less than entirely satisfied about recent price developments - is caused by - recent trends in wages neither clearly confirm no entirely defuse the risk of an entrenchment of upward tendencies in prices","latest inflation developments - causes - endanger price stability
less than entirely satisfied about recent price developments - is caused by - Recently published inflation forecasts neither clearly confirm nor entirely defuse the risk of an entrenchment of upward tendencies in prices
less than entirely satisfied about recent price developments - is caused by - developments in indicators of inflation expectations neither clearly confirm nor entirely defuse the risk of an entrenchment of upward tendencies in prices
less than entirely satisfied about recent price developments - is caused by - recent trendsin wages neither clearly confirm nor entirely defuse the risk of an entrenchment of upward tendencies in prices","Wim Duisenberg, the president of the European Central Bank, left the door open to higher interest rates - is caused by - recent price pressures
Recently published inflation forecasts, developments in indicators of inflation expectations and recent trends in wages - causes - {neither clearly confirm nor entirely defuse|unclear} risk of an entrenchment of upward tendencies in prices","Wim Duisenberg, the president of the European Central Bank, left the door open to higher interest rates - is caused by - recent price pressures
the latest inflation developments - causes - less price stability
{we|The ECB} are less than entirely satisfied about recent price developments - is caused by - recently published inflations forecases neither clearly confirm no entirely defuse the risk of an entrenchment of upward tendencies in prices
{we|The ECB} are less than entirely satisfied about recent price developments - is caused by - developments in indicators of inflation expectations neither clearly confirm no entirely defuse the risk of an entrenchment of upward tendencies in prices
{we|The ECB} are less than entirely satisfied about recent price developments - is caused by - recent trends in wages neither clearly confirm no entirely defuse the risk of an entrenchment of upward tendencies in prices
Recently published inflation forecasts - causes - {neither clearly confirm nor entirely defuse|unclear} risk of an entrenchment of upward tendencies in prices
developments in indicators of inflation expectations - causes - {neither clearly confirm nor entirely defuse|unclear} risk of an entrenchment of upward tendencies in prices
recent trends in wages - causes - {neither clearly confirm nor entirely defuse|unclear} risk of an entrenchment of upward tendencies in prices","- Wim Duisenberg, the president of the European Central Bank, expressed displeasure with recent price pressures - causes - the European Central Bank left the door open to higher interest rates 
- policy makers at the European Central Bank are waiting for proof - is caused by - the latest inflation developments could endanger price stability in the future"
"1664471776_20063","2014-12-06","WSJ","In Land of Sweets, Turkish Nutcracker","higher hazelnut prices - causes - {the company|Ritter Sport} plans to announce an 8% price increase
the high {hazelnut} prices - causes - {they|Turkish farmers} are keeping supply tight by holding back from selling","higher hazelnut prices - causes - {the company|Ritter Sport} plans to announce an 8% price increase
{high priceshigher hazelnut prices} - causes - {they|Turkish farmers} are keeping supply tight by holding back from selling","higher hazelnut prices - causes - {the company|Ritter Sport} plans to announce an 8% price increase across all of its products
Turkish farmers are one winner - is caused by - high prices
high prices - is caused by - {They|Turkish farmers} are keeping supply tight by holding back from selling","higher hazelnut prices - causes - {the company|Ritter Sport} plans to announce an 8% price increase
{high priceshigher hazelnut prices} - causes - {they|Turkish farmers} are keeping supply tight by holding back from selling","- Ritter Sport plans to announce an 8% price increase across all of its products this month - is caused by - higher hazelnut prices 
- Turkish farmers are keeping supply tight by holding back from selling - causes - Turkish farmers benefiting from the high prices"
